name,datetime (utc timezone),fan_count
bnk48official.piam,2018-09-30 20:00:00,80641
bnk48official.jib,2018-09-30 20:00:00,79807
bnk48official.phukkhom,2018-09-30 20:00:00,76293
bnk48official.izutarina,2018-09-30 20:00:00,75639
bnk48official.new,2018-09-30 20:00:00,68413
bnk48official.bamboo,2018-09-30 20:00:00,65967
bnk48official.minmin,2018-09-30 20:00:00,58007
bnk48official.kate,2018-09-30 20:00:00,56884
bnk48official.cake,2018-09-30 20:00:00,56504
bnk48official.view,2018-09-30 20:00:00,51267
bnk48official.panda,2018-09-30 20:00:00,49639
bnk48official.gygee,2018-09-30 20:00:00,47931
pakwan.bnk48official,2018-09-30 20:00:00,47148
bnk48official.kheng,2018-09-30 20:00:00,45036
bnk48official.myyu,2018-09-30 20:00:00,43883
bnk48official.stang,2018-09-30 20:00:00,42652
bnk48official.oom,2018-09-30 20:00:00,41524
bnk48official.niky,2018-09-30 20:00:00,40887
bnk48official.maira,2018-09-30 20:00:00,40774
bnk48official.aom,2018-09-30 20:00:00,40265
bnk48official.faii,2018-09-30 20:00:00,39135
bnk48official.deenee,2018-09-30 20:00:00,30736
bnk48official.khamin,2018-09-30 20:00:00,28833
bnk48official.fifa,2018-09-30 20:00:00,26632
bnk48official.nine,2018-09-30 20:00:00,25822
bnk48official.cherprang,2018-09-30 19:00:00,548468
bnk48official.pun,2018-09-30 19:00:00,547078
bnk48official.orn,2018-09-30 19:00:00,346759
bnk48official.jennis,2018-09-30 19:00:00,274399
bnk48official.noey,2018-09-30 19:00:00,273504
bnk48official.mobile,2018-09-30 19:00:00,270668
bnk48official.music,2018-09-30 19:00:00,262057
bnk48official.kaimook,2018-09-30 19:00:00,247799
bnk48official.kaew,2018-09-30 19:00:00,216403
bnk48official.namneung,2018-09-30 19:00:00,176659
bnk48official.mewnich,2018-09-30 19:00:00,176091
bnk48official.tarwaan,2018-09-30 19:00:00,169426
